ticker,entry_date,notes
CSU,2026-03-01,Add actual entry date
LMN,2026-03-01,Add actual entry date
TOI,2026-03-01,Add actual entry date
CHG,2026-03-01,Add actual entry date
EXO,2026-03-01,Add actual entry date
RMS,2026-03-01,Add actual entry date
SLm,2026-03-01,Add actual entry date
ADBE,2026-03-01,Add actual entry date
BRBR,2026-03-01,Add actual entry date
BRK B,2026-03-01,Add actual entry date
CPRT,2026-03-01,Add actual entry date
GOOGL,2026-03-01,Add actual entry date
IAU,2026-03-01,Add actual entry date
IBIT,2026-03-01,Add actual entry date
IGV,2026-03-01,Add actual entry date
MU,2026-03-01,Add actual entry date
QXO,2026-03-01,Add actual entry date
RACE,2026-03-01,Add actual entry date
SCZM,2026-03-01,Add actual entry date
SLV,2026-03-01,Add actual entry date
SSRM,2026-03-01,Add actual entry date
U.U,2026-03-01,Add actual entry date
UBER,2026-03-01,Add actual entry date
VWRA,2026-03-01,Add actual entry date
